
Chapter-1-page-1.html
python              : n. 丹舌,大蟒,巨蟒
Cartesian           : adj. 笛卡尔的，笛卡尔哲学的 n. 笛卡尔信徒
driven              : adj. 受到驱策的 vbl. 驱使, 驾车
passenger           : n. 乘客,旅客
exponential         : adj. 指数的 n. 指数
alter               : v. 改变
physics             : n. 物理学
inserted            : adj.插入的,嵌入的,着生的,附着的
grail               : n. 长期追求的目标 Grail:（传说中耶稣在最后的晚餐中用过的）圣杯
contribute          : vt. 捐助,投稿 vi. 投稿,贡献,是原因之一
defer               : vt. 延期, 缓召, 把...委托给他人 vi. 耽搁, 延误, 遵从
entropy             : n. 熵 n.平均信息量 n.一致性，统一性
decide              : vt. &vi. 决定,作出抉择
equation            : n. 相等,方程(式),等式,均衡
basically           : adv. 基本上, 主要地

Chapter-7-page-10.html
indexed             : adj.编入索引的,[计]被变址的,[经]与生活指数(或物价指数)挂钩的
overridden          : vbl.override的过去分词
vocabulary          : n. 词汇, 词汇量
fitting             : adj. 适合的, 恰当的 n. 试衣
markdown            : n. 标价商品价格, 减价
reserved            : v. 保留(预定,推迟) adj. 保留的(预订的,冷淡的,缄默)
knight              : n. 骑士,爵士,武士 vt. 授以爵位
direction           : n. 方向,指导,用法说明,趋势
ending              : n. 结尾, 结局
upstream            : adj. 逆流而上的 adv. 向上游, 逆流地
divisor             : n. 除数
transport           : n.运输、运输工具；(常用复数）强烈的情绪、狂喜或狂怒 vt. 运输；流放；为强烈的情绪所激动
discourse           : n. 谈话,演讲 vi. 谈话,讲述 vt. 叙述,讨论
posting             : n. 过账，记入, 任命 动词post的现在分词
electrical          : adj. 电的,电气科学的
clock               : n. 时钟, 计时器
cluster             : n. 串,丛,群 v. 聚合,成串,丛生,使...聚集
tracing             : n. 追踪,  描图 动词trace的现在分词
retention           : n. 保存(保持力,包装牢固,记忆力,保留物)
Chinese             : adj. 中国的 n. 汉语,中国人

Chapter-8-page-1.html
architecture        : n. 建筑学, 建筑业, 建筑物, 结构  [总称]建筑物, 建筑风格
bundle              : n. 捆,束,一批,一大笔钱 vt. 捆,匆匆送走,附赠 vi. 匆忙
routing             : n.行程安排,邮件路由
keyboard            : n. 键盘 vt. 用键盘输入(信息)
integral            : adj. 构成整体所必需的,完整的 n. [数学] 积分, 完整, 部分
diagnostic          : adj. 特征的,诊断的 n. 诊断程序, 症状, 诊器
speaker             : n. 说话者, 发言者, 说某种语言者, 扬声器
subset              : n. 子集
reduced             : adj.减少的,简化的
shallow             : adj. 浅的, 肤浅的, 浅显易懂的 n. (pl.)浅滩, 浅处 v. 变浅
offer               : n. 出价, 提议 vt. 提供, 出价; 贡献, 奉献 vi. 提议; 出现; 求婚
greet               : vt. 问候,致敬,欢迎,映入眼帘
lightweight         : adj. 轻的(重量轻的,标准重以下的)
registration        : n. 登记,注册,挂号
whale               : n. 鲸,大量 vi. 捕鲸 vt. 鞭打,打击,打败
notion              : n. 观念,想法,主张
recur               : v. 回到, 重现, 再来
instantiation       : n.实例化,例示
sheet               : n. 床单,张,片 vt. 盖上被单,遍布, 使成片状 vi. 成片落下或流动 adj. 片状的
improved            : adj. 改良的,  改进的  动词improve的过去式和过去分词

Chapter-8-page-2.html
shuffle             : n. 拖著脚走,洗纸牌 vt. &vi. 拖曳,慢吞吞地走
trunk               : n. 树干,躯干, 干线, (汽车后部)行李箱,象鼻
diamond             : n. 钻石,像钻石的物质,菱形,纸牌的方块,棒球内场 vt. 用钻石装饰 adj. 60或75周年纪念的
sanitize            : vt. 采取卫生措施使其安全, 消毒, 使无害
adapter             : n. 适配器 n. 改编者
classify            : v. 分类,归类,分等
visual              : adj. 视觉的 n. 画面, 图象
snippet             : n.小片,小部分,（消息或文章等的）片段
micro               : adj. 微小的 n. 微米(百万分之一, 测微计)
abstraction         : n. 抽象, 抽象概念, 心不在焉
legal               : adj. 法律的,合法的,法定的
symmetric           : adj.相称性的,均衡的
recognition         : n. 认出,承认, 感知，知识
telnet              : n. 用于远程联接服务的标准协议 vi. 远程登录
tense               : adj. 紧张的, 拉紧的 vt. 使紧张, 拉紧 vi. 变得紧张 n. (动词的)时态
paste               : n. 糊,浆糊,铅制玻璃 vt. 粘贴,覆盖,猛击
chart               : n. 图表 vt. 制成图表
scaling             : n.缩放比例
computational       : adj. 计算的，电脑的
compilation         : n. 编译, 编辑

Chapter-8-page-3.html
rolling             : adj.旋转的,波动的,摇晃的 n.旋转,滚动 动词roll的现在分词形式
destination         : n. 目的地,终点,景点
banana              : n. 香蕉
tested              : adj. 考验的，测试的 动词test的过去式和过去分词
normalization       : n.正常化,标准化
segmentation        : n.分割，[生]细胞分裂，[计]程序分段
sibling             : n. 兄弟姐妹
modern              : adj. 现代的,时髦的 n. 现代人,时尚人士
former              : adj. 以前的,在前的 pron.&amp;n. 前者
protect             : vt. 保护,投保 vi. 提供保护
finish              : n. 完成,最后加工,结局,完美 vt. 结束,获...第几名 vi. 终结,完成
subsequence         : n. 随后, 随后发生的事, 结果
optimal             : adj. 最佳的, 最理想的
elsewhere           : adv. 在别处, 到别处
rectangle           : n. 长方形,矩形
polymorphism        : n.多形性,多态现象
magnitude           : n.巨大，广大； 重大，重要； 量级； （地震）级数
thumb               : n.拇指； （手套的）拇指部份 vi.翘起拇指请求搭乘（过路汽车），示意请求搭便车； 翻阅 vt.翻阅； 作搭车手势； 用拇指翻脏[翻坏]（书页等）
binomial            : n. 二项式, 二种名称 adj. 二项的, 双名的
universal           : adj. 普遍的,通用的,宇宙的 n. 通用

Chapter-8-page-4.html
distinction         : n. 区别; 卓越; 殊荣
lister              : n.制表人,造册者,<美>[农](装撒种器的双壁犁)
sublime             : adj. 高尚的，壮观的,卓越的 vt. 提高,变高尚，升华 n. 顶峰,高尚
fault               : n. 故障,过失,缺点 vt.&vi. 挑剔,指责，发现错误, 断裂
serving             : n.服务； （食物或饮料的）一份； 上菜 adj.用于上菜的 v.（为…）服务( serve的现在分词)； 任（职）； 提供； 端上
paper               : n. 纸,文件,论文,报纸,票据 vt. 用纸包,供纸,仓促完成 vi. 贴壁纸 adj.纸制的,文书的,理论上的
logout              : 退出 v.(=log-out)注销
workbook            : n. 练习本，工作记事薄，工作手册
worksheet           : n. (学生的)活页练习题，工作记录表
newly               : adv. 崭新,新改,以新方法
successful          : adj. 成功的,达到目的的
catching            : adj. 易传染的, 有魅力的, 迷人的 n. 捕捉 动词catch的现在分词形式
curve               : n. 曲线,弯曲,曲球 vt. 使...弯曲 vi.弯曲
skeleton            : n. 骨架,纲要,骨骼,骨瘦如柴的人或动物,家丑 adj. 骨骼的
dormouse            : n. 榛睡鼠 复数为dormice
retry               : vt. 重试
shrink              : n. 收缩,萎缩 vi. 收缩,退缩,萎缩 vt. 使收缩
annotation          : n. 注解, 评注
faker               : n. 骗子，冒牌货，伪造者
registry            : n. 注册, 登记, 登记簿，登记处，登记簿中的条目，（船舶的）登记国籍

Chapter-8-page-5.html
indirect            : adj. 间接的, 迂回的，次要的，不坦率的，欺骗的
unsafe              : adj. 不安全的, 不安稳的, 危险的
personal            : adj. 私人的,个人的 n. (报刊的)私人专栏
delivery            : n. 递送, 交付, 分娩
licensed            : adj. 得到许可的 动词license的过去式和过去分词形式
assumed             : adj.假定的, 假装的  动词assume的过去式和过去分词
modulo              : prep. 关于模数
truncate            : vt. 切去头端，缩短，截棱成平面 adj. 切去了头，缩短了的，截形的
driver              : n. 驾驶员, 司机
helpful             : adj. 有帮助的, 有益的
discount            : n. 折扣, 贴现率 vt. 打折扣, 贴现, 不重视，不全信 vi. 贴现, 减息贷款
responsible         : adj. 有责任的,负责的,责任重大的,应负责的
persistent          : adj. 固执的,坚持的,连续的
smart               : adj. 聪明的,时髦的,漂亮的,敏捷的,轻快的,整洁的 vi. 刺痛,难过,烦恼 n. 刺痛,苦恼 adv. 轻快地,,机灵地,整齐地,漂亮地; v. 感到剧烈刺痛，（因批评、失败等）难过，烦恼
assuming            : adj. 傲慢的；不逊的；僭越的 v. 假设（assume的ing形式）
aggregation         : n. 集合, 聚合, 集合体
linguistics         : n. 语言学
spacing             : n.留间隔, 间隔, 空间,字距  动词space的现在分词形式
gateway             : n. 门, 通路 [计算机] 网间连接器
artist              : n. 艺术家, 美术家, 艺人

Chapter-8-page-6.html
logarithm           : n. [数]对数
profiling           : n. 程序概要分析 动词profile的现在分词形式
America             : n. 美国,美洲
successor           : n. 接班人,继任人
covariance          : n. 共分散,协方差
garage              : n. 车库, 汽车修理厂 vt. 把...放入车库
education           : n. 教育,培养
mailer              : n. 寄信人，邮件封套(或小箱、盒等) Mailer n. 梅勒(男子名)
interaction         : n. 相互作用, 相互影响
touch               : n. 触觉,接触,少许, 痕迹, 修饰 vt. 触摸,吃,喝,触及,感动 vi. 接触, 联系
relational          : adj. 有关系的, 亲属的
bridge              : n. 桥,鼻梁,桥牌 vt. 渡过,架桥
subtract            : vt. 扣掉 vi. 减少
stride              : n. 步伐,一大步,大步走,进步 vt. 跨骑,跨 vi. 岔开腿站立,迈大步走,跨过
determinant         : n. 行列式(决定因素) adj. 决定性的
extractor           : n. 拔取的人, 抽出者, 抽出器，萃取器
frank               : adj. 坦白的,直率的,无误的 vt. 免费邮寄,使自由出入 n. 免费邮寄
naturally           : adv. 自然地,天生地
preferred           : adj.首选的
transformation      : n. 转型,转化,改造

Chapter-8-page-7.html
connector           : n. 连接头
detection           : n. 察觉, 发觉, 侦查, 探测
derived             : adj. 衍生的
composite           : adj. 合成的,复合的 n. 合成物, 复合材料 vt. 合成
collected           : adj. 收集成的,收集成的,镇定的 v. 收集 vbl. 收集
closure             : n. 闭合(闭包,结束,截流,罩子,围墙) vt 结束
currency            : n. 货币; 流通
serialize           : vt. 连载，串行化 =serialise（英）
spoken              : adj. 口头的, 口语的 动词speak的过去分词形式
lesser              : adj. 较少的, 较小的, 次要的
broken              : adj. 坏掉的,打破的,断掉的 v. 打破,弄坏(break的过去分词)
traverse            : n. 横贯, 横木 v. 横过, 铭刻
provider            : n. 供应者, 赡养者, 养家糊口的人
bubble              : n. 泡沫, 气泡, 幻想, 骗局, 欢乐 vi. 起泡, 出现, 洋溢 vt. 使冒泡
increasing          : vbl.渐增的,越来越多的
occurrence          : n. 发生,事件,发现
alignment           : n. 队列，成直线；校准；结盟
hierarchical        : adj. 按等级划分的
stacked             : adj. 妖艳的, 身材丰满匀称的 adj. 成堆的 动词stack的过去式和过去分词
ambiguity           : n. 不明确,含糊,暧昧,模棱两可

Chapter-8-page-8.html
rename              : v. 重新命名, 改名 n. [计算机]DOS命令
persistence         : n. 坚持(余辉,时间常数)
picture             : n. 图画,照片,景色 vt. 画,描写,想像
fundamentals        :n. 基础;基本原则(或原理)
formally            : adv. 正式地, 形式上地
roughly             : adv. 概略地,粗糙地,粗鲁地
demonstrate         : vt. 示范, 演示, 证明 vi. 示威
fallback            : n. 撤退，后备计划, 降落物 adj. 后退的，应变的
anyone              : pron. 任何人
developed           : adj. 发达的，成熟的 动词develop的过去式和过去分词
birth               : n. 出身, 血统, 出生, 诞生, 出现, 起源
trade               : n. 贸易,商业,交易,行业,同行,手工艺,主顾,(复数)信风 vi. 做生意,购物,交换 vt. 用某物交换,做买卖 adj. 商业的,专业性的,同行的
supervisor          : n. 监督人, 管理人, 检查员, 督学, 主管人,导师
tensor              : n. [解]张肌 n. [物]张量
squared             : adj. 正方形的 动词square的过去式和过去分词
supporting          : adj.支持的,次要的,辅助性的 动词support的现在分词
vegetable           : n. 蔬菜；植物人；生活单调乏味的人 adj. 植物(性)的；得自植物的；关于植物的；蔬菜的
neutral             : adj. 中立的,中性的 n. 中立者,空挡的,素净色
gooey               : adj. 胶粘的，感伤的 n. 胶粘物，感伤
favorite            : adj. 流行的，喜爱的 n. 最喜爱的人或物, 被认为最有可能胜出的竞争者

Chapter-8-page-9.html
theme               : n. 题目, 主题
symbolic            : n. 代号 adj. 象征的, 符号的
augment             : vt. 增加,补充 vi.扩大 n. 增加,补充物
automated           : adj.自动化的 动词automate的过去式和过去分词
whirlwind           : n. 旋风 adj. 旋风般的
notebook            : n. 笔记本，笔记本电脑
interpolation       : n. 插入, 窜改
timeline            : n. 时间表
zipcode             : n.邮政编码
holding             : n. 把持, 支持, 保持 vbl. 握住, 把持, 举行
payment             : n. 支付, 付款
hardware            : n. 五金器具 n. (计算机) 硬件
promo               : n. 商品推销，商品广告，广告片
speaking            : adj.发言的,能说的 动词speak的现在分词
perfect             : adj. 完美的；最好的；精通的 vt. 使完美；使熟练 n. 完成式
discover            : vt.& vi.发现
mapper              : n.制图人
credentials         : n. (个人能力及信用的)证明书, 证件
maintenance         : n. 维护, 保持, 维修, 生活费用 n. 供给, 抚养; 主张
detect              : vt. 发现,探测信息,侦查 vi. 当侦探

Chapter-8-page-10.html
notify              : v. 通知,通告,报告
strict              : adj. 严格的, 精确的, 完全的
theoretical         : adj. 理论上的
closer              : n.关门的人, [棒球]后援投手 adj.更近的 形容词close的比较级
disabled            : adj. 残废的 n. 残疾人
denominator         : n. 分母,平均水平
distribute          : vt. &vi. 分配,散布
deprecation         : n.强烈不赞成,祈免,反对
handbook            : n. 手册, 指南
spaced              : adj. 彼此隔开的, &lt;俚&gt;昏昏沉沉的 动词space的过去式和过去分词形式
demand              : n. 要求; 需求 v. 要求, 查问; 需要
obscure             : adj. 微暗的,难解的,不著名的,[语音学]轻音的  vt. 使...阴暗,隐藏,使...含糊,成为含糊的元音   n. 暗淡,模糊
commuter            : n. 通勤者, 每日往返上班者
vision              : n. 视觉,先见之明,光景,视力,眼力,幻想，影像 vt. 幻想
effectively         : adv. 事实上,有效地
credit              : n. 信用, 荣誉, 贷款, 学分 v. 归功于, 赞颂, 信任
prepared            : adj. 准备好的，预制的 动词prepare的过去式和过去分词
interpret           : v. 解释, 演出, 翻译 [计算机] 解释
ellipsis            : n. 省略
delta               : n. (河流的)三角洲

Chapter-9-page-1.html
padding             : n. 垫充, 垫塞, 填料，废话
specialized         : 专门的 专科的
michael             : n.迈克尔(男子名)
availability        : n. 有效,有用,有益；可得到的人(或物)
cheese              : n.奶酪； <俚>微笑 vt.<俚>停止
restricted          : vt. 限制,约束 adj. 受限制的,有限的,保密的
intersect           : v. 贯穿, (和...)相交, 交叉
differently         : adv. 不同地
easiest             : adj.容易的,轻松的
portability         : n. 可移植性, 可携带, 轻便
breadth             : n. 宽度
duration            : n. 持续时间，期间
anime               : n. 日本动漫
grouping            : n. 编组, 归类  动词group的现在分词
innermost           : adj. 内心的, 最深处的 n. 最深处
subtype             : n. 子类型
technical           : adj. 工艺的, 技术的
Nevada              : n. 内华达[美国州名]
analyze             : v. 分析,分解 vt. 分析
successfully        : adv.顺利地,成功地

Chapter-9-page-2.html
dummy               : n. 傀儡,假人,哑巴,笨蛋,仿制品 adj. 假的,虚晃的 vt. 仿制
excel               : vt. 超过, 优于 vi. 胜出 [计算机] 软件名称
freeze              : v. 冻结, 冷冻, 僵硬 [计算机] 冻结
startup             : n. 开动, 出发
sighting            : n. 看见 动词sight的现在分词形式
grammatical         : adj. 语法的, 合乎文法的
permanent           : adj. 永久的, 持久的 n. (口)烫发
mediator            : n. 调解人,中介人
graphic             : adj. 生动的,图表的 n. 图表
tesseract           : n. [数]立方体的四维模拟，超正方体
despite             : prep. 不管, 尽管 v.憎恨, 轻视
preserve            : vt.保护； 保持，保存； 腌制食物； 防腐处理 vi.保鲜； 保持原状； 做蜜饯； 禁猎 n.蜜饯； 防护用品； 禁猎地； 独占的事物（或范围）
feedback            : n. 反馈,成果
moderation          : n. 缓和, 适度, 节制
modeling            : [计] 建模,造型
revisit             : v. 再访, 重游, 重临
attention           : n. 注意(力),关心,立正
dependent           : adj. 附属的,依赖的,悬垂的 n. 受经济援助者
iterative           : adj. 迭代的, 重复的
background          : n. 背景,幕后,配音 vt. 提供背景

Chapter-9-page-3.html
evenly              : adv. 平衡地, 平坦地, 平等地
syndication         : n.企业联合组织
agreement           : n. 同意, 一致, 协议
German              : adj. 德国(人)的,德语的,日耳曼的 n. 德国人,德语,日耳曼人
toast               : n. 烤(土司)面包, 干杯, 祝酒, 受敬酒的人等 vt. 敬酒, 烤... vi. 烘烤
collector           : n. 收集家, 收税员
respect             : n. 尊敬, 敬重; 关系, 方面 vt. 尊敬, 尊重; 关于, 涉及
authorization       : n. 授权(书),认可
enclosed            : adj. 被附上的 v. 附上 vbl. 附上
frequent            : adj. 经常的,频繁的 vt. 常到,常去
authenticate        : v. 证明(某物)为真
everyone            : pron. 每人, 人人
subscribe           : vt. 签名,签署,支持 vi. 签名,签署,定期捐赠,订阅
encryption          : 
accumulator         : 
thought             : n.思想； 想法； 关心； 思索 v.想( think的过去式和过去分词)； 思索； 以为； 认为
silently            : adv. 沉默地, 寂静地
colorimetric        : adj.色度的 比色的
scaled              : adj.有鳞状斑点的,有鳞的
estimate            : n. 估计, 估价 v. 估计, 估价, 评价

Chapter-9-page-4.html
tolerance           : n. 忍耐力,宽容,容忍,公差
expanding           : adj.展开的,扩大的
substantial         : n. 重要部份, 本质 adj. 大量的, 实质上的, 有内容的
compressor          : n. 压缩物,压缩机,收缩肌
wheel               : n. 轮子,周期,旋转运动 vi. 旋转,转动 vt. 推或拉车,传送,打圈,装以车轮
trivial             : adj. 琐碎的, 不重要的
rewrite             : n. 重写, 改写 vt. 改写, 重写 vi. 修改
keeping             : n. 一致, 协调 动词keep的现在分词形式
dropped             : adj.{英橄}抛踢球得分的
anagram             : n. 变位词, 字谜游戏
diagram             : n. 图解,图表 vt. 用图解法表示
compression         : n. 压缩, 压榨, 缩小
overlap             : n. 重叠,重复 vt. 重叠,重复 vi. 有重叠部分 [计算机] 重叠
revision            : n. 校订,修正,修订本 n. 复习,重温
pathname            : n. 〈计〉路径名
motivation          : n. 动机
circuit             : n. 电路,一圈,巡回 vt. &vi. 巡回
reducer             : n.缩减者,减压器,还原剂
dinner              : n. 主餐, 晚餐, 晚宴
truly               : adv. 真实地, 不假

Chapter-9-page-5.html
interlude           : n. 中间, 中间时间, 介在中间的事件
reply               : vt. &vi. &n. 回答,答复
manhole             : n. (位于街面，盖有金属盖，供工人检修、疏浚下水道时出入的)出入孔，检修孔，人孔
forget              : vt. &vi. 忘记,忽略
frequently          : adv. 经常地, 频繁地
mouse               : n. 老鼠,鼠标，胆小如鼠的人，乌青色的肿块 vi. 捕鼠，蹑手蹑脚行动 vt. 仔细寻找
prone               : adj. 俯卧的, 易于...的, 有...倾向的
truncated           : adj.被截的, 缩短的  动词truncate的过去式和过去分词
conference          : n. 会议
diversity           : n. 多样化，（人在种族、民族、宗教等方面的）多样性； 差异； 分歧 vt. 使不同,使多样化
cuisine             : n. 烹饪,佳肴
asking              : n.问,寻问,请求 vbl.问,要求
foundation          : n. 基础；地基；基金会；根据；创立
remain              : v. 保持, 依然, 剩余, 留下, 逗留 n. 遗迹, 剩余物, 残骸
repetition          : n. 重复,反复
pagination          : n. 分页, 标注页码
namely              : adv. 即, 也就是
correspond          : vi. 符合,通信,相当
extent              : n. 广度,宽度,长度,大小,范围,范围,程度 n. [律]&lt;英&gt;扣押, &lt;美&gt;临时所有权令
integrate           : v. 整合, 使...成整体

Chapter-9-page-6.html
batch               : n. 一次所烘的面包,一次所制之量,一组, 批, 分批 vi. 分批处理
smoker              : n. 吸烟者，吸烟室（车厢），（男人的）吸烟聚会
arrow               : n. 箭，箭头 vi. 快且笔直的前进有如穿梭的箭
bunch               : n. 一串,一束,一组,凸起,大量 vi. 凸起,使成一束(或一群等) vt. 使成一束
sigma               : n. 希腊语的第十八个字母（∑）
archives            : n.档案,公文,档案室,案卷保管处
contract            : n. 合约, 婚约; 合同书 v.签合同； 缩小； 感染
migrate             : v. 移动,移往,随季节而移居 [计算机] 迁移
amend               : vt. 修正,改善,改良 vi. 自我修正
banner              : n. 旗帜,横幅,大标题 adj. 特别好的,杰出的 vt. 用横幅装饰,以大标题报道
saying              : n.话,谚语
birthday            : n. 生日
punctuation         : n. 强调,标点
benchmark           : n. 基准点, 标准检查程序, 参照点 vt. 检测(竞争对手的产品以比较和改进自身产品)
believe             : vi. &vt. 认为,相信
helping             : n. 帮助,（食物的）一份，一客 adj. 辅助的，助人的 动词help的现在分词形式
concur              : v. 意见相同, 一致, 互助
financial           : adj. 金融的,财政的
chase               : n. 追求,狩猎 v. 追捕,追逐,在金属上打花样
dialogue            : n. 对话 vt.& vi. 对话

Chapter-9-page-7.html
augmentation        : n. 增加
transfer            : n. 迁移, 移动, 换车 v. 转移, 调转, 调任
overwrite           : v. 重写, 写得过多, 描述过分
needle              : n. 针 vt. 用针缝,激怒,嘲弄 vi. 缝纫
colleague           : n. 同事
irrelevant          : adj. 不恰当的,无关系的,不相干的
backslash           : n. 反斜线符号(\)
cleanup             : n. 清除，&lt;俚&gt;暴利 adj. （棒球）第四棒的
eventually          : adv. 终于, 最后
sandbox             : n. 沙箱, 沙盒
tribute             : n. 贡品,颂词,称赞,(表示敬意的)礼物
wolfram             : n. [化]钨, 钨锰铁矿
grade               : n. 年级,成绩,分数,等级,级别 vt. 分级,记成绩
globe               : n. 地球, 地球仪, 球体
designing           : adj. 狡猾的，有预谋的 n. （工作）设计 动词design的现在分词
closely             : adv. 紧密地，接近地，严密地
divided             : adj.分离的，被分割的，分裂的 v.分( divide的过去式和过去分词 )； 划分； 分离； （使）产生分歧
altogether          : adv. 总共，完全
stability           : n. 稳定性,居于修道院
weird               : adj. 怪异的，离奇的 n.命运；预言者

Chapter-9-page-8.html
fuzzy               : [计算机] 模糊的 adj. 毛茸茸的，模糊的，含糊不清的（感情）
increment           : n. 增加(增加物, 增量, 余差)
profit              : n. 利润, 盈利比率，利益 vi. 利用，获利 vt. 有益于
postal              : adj. 邮政的 n. [美]明信片
derivative          : adj. 引出的,系出的 n. 引出之物,系出物,衍生字 n. 导数, 微商
termination         : n. 终结, 中止, 词尾,限制, 结果
interception        : n. 截取, 拦截, 窃听
suffice             : vi. 足够,合格 vt. 使...足够
tracker             : n. 追踪者
legend              : n. 传说,传奇人物,铭文
bonus               : n. 红利, 奖金
temperature         : n. 温度,发烧
population          : n. 人口
likewise            : adv. 同样地,此外,（表示感觉相同）我也是
inclusion           : n. 包含
extreme             : adj. 极度的,极端的,尽头的,严重的,末端的 n. 极端,极限
panel               : n.镶板； 面； （门、墙等上面的）嵌板； 控制板 vt.选定（陪审团）； 把…分格； 在…上置鞍垫； 把…镶入框架内
fetching            : adj. （尤指人或穿的衣服）动人的,引人的,迷人的 动词；fetch的现在分词形式
applicable          : adj. 合适的,适用的
exponentiation      : n. [数]求幂

Chapter-9-page-9.html
recover             : vt.恢复； 重新获得； 找回； <正>恢复（适当的状态或位置） vi.恢复健康（体力、能力等） n.恢复开始时姿势
protected           : adj. 受保护的 动词protect的过去式和过去分词形式
strongly            : adv. 强有力地，坚固地, 坚强地, 激烈地
hyperbolic          : adj. 夸张的 adj. 双曲线的
pickled             : 动词pickle的过去式、过去分词形式 adj. 腌制的, 腌渍的 adj. &lt;俚&gt;烂醉如泥的
worked              : 处理过的,作装饰用的
selenium            : n. [化] 硒
align               : vt. 使成一行, 使一致, 使结盟, 调整, 排列 vi. 成一条线
adjust              : vt. 调整, 使...适于 vi. 适应
fundamental         : adj. 基本的,根本的,重要的 n. 基本原理,基础
snakebite           : n. 蛇咬伤
asparagus           : n. 芦笋
challenge           : n.挑战； 盘问； 质疑； 怀疑 vt.质疑； 向…挑战 vi.提出挑战，要求竞赛（或竞争）； 驳斥
closest             : adj.最靠近的
haven               : n. 港口, 避难所, 安息所 v. 安置...于港中, 庇护
mention             : vt.提到，说起； 提名表扬 n.提及
flash               : n. 闪光,闪现,闪烁物,花哨,一瞬间,电脑动画技术 vi. 闪现,闪烁 vt. 传送,用光联络,流露出 adj. 花哨的,炫耀的,昙花一现的
publish             : vt. 出版,发行,公开发表 vi. 出版,发行
adjacent            : adj. 毗连的,邻近的,接近的
directed            :adj. adj.有指导的，有管理的，定向的，被控制的

Chapter-9-page-10.html
modular             : adj. 模块化的，组合的
quotient            : n. 商
studio              : n. 工作场所,画室，照相室，制片厂
snake               : n. 蛇 vt.& vi. 蜿蜒,扭曲
efficiency          : n. 效率；效能；功效
clump               : n. 丛, 块, 沉重的声音 v. 用沉重的脚步行走，丛生，使成簇
spinner             : n. 纺纱工人, 纺纱机
correlation         : n. 相互关系,相关,关连
lemma               : n. 引理; (词典的)词条
accomplished        : adj. 娴熟的,有造诣的,完成的,有成就的,毫无疑问的 动词accomplish的过去式和过去分词
declare             : vt. &vi. 宣布,声明,申报
intermediate        : adj. 中级的,中间的 n. 中间体,媒介物, 调解人 vi. 调解, 干涉
stated              : adj. 决定了的, 一定的, 定期的 v. 陈述, 说明 vbl. 陈述, 说明
imagine             : vt. 想像,幻想,猜测 vi. 想像起来,认为
compose             : vt. 组成, 写作, 作曲, 使镇静 vi. 创作
tried               : try的过去式，过去分词 adj. 可靠的，备受苦难的
monkey              : n. 猴子 v. 胡闹, 乱弄
printable           : 可印刷的
alphanumeric        : adj. 字母数字的
rotation            : n. 旋转,循环

Chapter-10-page-1.html
numerator           : n. 分子,计算者,计算的东西 [计算机] 分子
subversion          : n. 颠覆, 破坏
bitmap              : 位图
imaging             : 成像
venue               : n.犯罪地点,审判地,管辖地,发生地点,集合地,体育场馆
pencil              : n. 铅笔 v. 用铅笔写
responsive          : adj. 回答的, 应答的, 易感应的
minimize            : v. 将...减到最少 [计算机] 最小化
Altair              : n. 牵牛星，牛郎星
accessible          : adj. 可得到的, 易接近的, 可进入的
writer              : n. 作者, 作家
suppress            : vt. 镇压,使...止住,禁止
complement          : n. 补语；余角；补足物；补体 vt. 补足，补助
scrape              : n. 刮掉,擦掉,刮擦声 vt.& vi. 刮掉,擦掉
favor               : [美]n. 好意,喜爱,偏爱,特权 vt. 给予,关心,偏爱,支持,利于,长得像
invert              : v. 使反向;使倒置
triangular          : adj. 三角形的, 以三角形为底的, 三方的, (感情上)三角关系的
generalized         : adj. 普遍的，概括的，广义的 动词generalize的过去式和过去分词形式
gradient            : n. 倾斜度,坡度,升降率 adj. 倾斜的,步行的,步行态的
populate            : v. 构成人口, 居住于

Chapter-10-page-2.html
effort              : n. 努力, 努力的成果
devel               : n.重击
presentation        : n. 陈述, 介绍, 赠与 n. [美]讲课, 报告
puzzle              : n. 难题,迷惑 vt. 使困惑,解决 vi. 迷惑,苦思
expire              : vi. 期满,失效,终止,断气 vt. 呼气
principle           : n. 原则, 原理, 主义, 信念
tracking            : n. 按学生能力分组 动词track的现在分词形式
travel              : n.旅行,移动 vi. 旅行,传播,移动 vt. 横贯
spanning            : adj.[数](尤指树形子图)生成的
offline             : adv. 脱机地, 挂线地 adj. 脱机的, 挂线的
California          : n. 加利福尼亚, 加州
subplot             : n. 陪衬情节, 副区
babel               : n. 嘈杂声 Babel n. [圣]巴别塔
inspired            :adj. adj. 受神灵启示的, 有灵感的
indeed              : adv. 的确, 真正地, 事实上
fewer               : adj. 少的，越来越少的 adj. 较少的 int. 较少数
soapbox             : n. 肥皂箱, 临时演说舞台 adj. 肥皂盒的, 即兴演说的
exporter            : n. 出口商，输出者，输出国
reactor             : n. 反应者，反应堆
Chapman             : n. &lt;英&gt;叫卖小贩, &lt;古&gt;商人 Chapman n. 查普曼(男子名)

Chapter-10-page-3.html
footer              : n. 页脚，脚注 n.
hypothesis          : n. 假设, 猜测, 前提
watchdog            : n. 看门狗；监察人；忠实的看守人
sandman             : n. (童话中的)睡魔，瞌睡虫
playlist            : n. 录音节目播放表，演出剧目表 =play list
controller          : n. 控制器, 管理者, 主计员
proof               : adj. 防...的,耐...的,能防护 n. 校样,证据,证明 vt. 检验,给...做防护措施
cherry              : n. 樱桃(树),樱桃色
beverage            : n. 饮料
